id,label,hierarchy,description
1938,Agências de Cobrança,Serviços Administrativos e de Suporte > Agências de Cobrança,Esse setor inclui entidades que coletam pagamentos por reivindicações e remeter pagamentos coletados para seus clientes.
110,Serviços de Eventos,Serviços Administrativos e de Suporte > Serviços de Eventos,"Esse setor inclui entidades que organizam, promovem e/ou gerenciam eventos, como negócios e feiras, convenções, conferências e reuniões, realizadas em instalações que gerenciam e operam ou em instalações que são gerenciadas e operadas por outros."
122,Serviços de Instalações,Serviços Administrativos e de Suporte > Serviços de Instalações,"Esse setor inclui entidades que fornecem à equipe operacional que realiza uma combinação de serviços nas instalações de um cliente (excluindo instalações de processamento de computador e/ou dados, que estão em indústrias separadas), como zeladoria, manutenção, descarte de lixo, guarda e segurança, roteamento de correio, recepção e lavanderia. Incluem-se as entidades que prestam serviços prisionais privados ou exploram estabelecimentos prisionais com base em contratos ou honorários."
1965,Serviços de Zeladoria,Serviços Administrativos e de Suporte > Serviços de Instalações > Serviços de Zeladoria,"Esse setor inclui entidades que limpam interiores, interiores de equipamentos de transporte (por exemplo, aeronaves, vagões, navios) e/ou janelas."
2934,Serviços de Paisagismo,Serviços Administrativos e de Suporte > Serviços de Instalações > Serviços de Paisagismo,"Esta indústria inclui entidades que 1. Fornecem serviços de cuidados e manutenção de paisagem e/ou instalação de árvores, arbustos, plantas, gramados ou jardins 2. Forneça esses serviços junto com o design de planos de paisagem e/ou a instalação de passarelas, paredes de retenção, terraços, cercas, lagos e estruturas semelhantes."
101,Captação de Recursos,Serviços Administrativos e de Suporte > Captação de Recursos,"Esse setor inclui entidades que fornecem serviços de suporte comercial, em particular os serviços de organização de captação de recursos em uma base de contrato ou taxa."
1916,Administração de Escritórios,Serviços Administrativos e de Suporte > Administração de Escritórios,"Este setor inclui entidades que fornecem uma variedade de serviços administrativos do escritório diário, como planejamento financeiro; faturação e manutenção de registos; pessoal; e distribuição física e logística, para outros, com base em contratos ou honorários."
121,Segurança e Investigações,Serviços Administrativos e de Suporte > Segurança e Investigações,"Este setor inclui entidades que: 1. Forneça serviços de investigação, guarda e carros blindados2. Vender sistemas de segurança, tais como alarmes contra roubo e incêndio e dispositivos de bloqueio, juntamente com serviços de instalação, reparação ou monitoramento3. Prestar serviços de monitoramento à distância de sistemas de alarme eletrónico de segurança."
1956,Guarda e Serviços de Patrulha,Serviços Administrativos e de Suporte > Segurança e Investigações > Guarda e Serviços de Patrulha,"Esse setor inclui entidades que fornecem funcionários para serviços de guarda e patrulha, como guarda-costas, cães de guarda e serviços de segurança de estacionamento."
1958,Serviços de Sistemas de Segurança,Serviços Administrativos e de Suporte > Segurança e Investigações > Serviços de Sistemas de Segurança,"Esse setor inclui entidades que vendem hardware de sistemas de segurança, como alarmes de incêndio, alarmes de invasão e dispositivos de travamento, além de instalação, reparo ou monitoramento remoto de sistemas de alarme de segurança eletrônica."
104,Recrutamento e Seleção de Pessoal,Serviços Administrativos e de Suporte > Recrutamento e Seleção de Pessoal,"Este setor inclui entidades que: 1. Liste as vagas de emprego e coloque ou consulte os candidatos para o emprego 2. Forneça serviços de busca, recrutamento e colocação de executivos 3. Forneça trabalhadores aos negócios dos clientes por períodos limitados de tempo; ou 4.Prestar serviços cotidianos de recursos humanos e de gestão de recursos humanos para empresas e famílias. As empresas de recursos humanos terceirizadas estão incluídas neste setor. Este setor não inclui as entidades que prestam consultoria sobre políticas e procedimentos de recursos humanos."
1923,Serviços de Pesquisa Executiva,Serviços Administrativos e de Suporte > Recrutamento e Seleção de Pessoal > Serviços de Pesquisa Executiva,"Esse setor inclui entidades que fornecem serviços de busca, recrutamento e colocação de executivos para clientes com requisitos específicos de posição executiva e de gerenciamento sênior, incluindo o desenvolvimento de uma estratégia de pesquisa e especificação de posição com base na cultura e nas necessidades do cliente; pesquisar, identificar, selecionar e entrevistar candidatos; verificar as qualificações dos candidatos; e auxiliar nas negociações da oferta final e assimilação do candidato selecionado."
1925,Serviços de Ajuda Temporária,Serviços Administrativos e de Suporte > Recrutamento e Seleção de Pessoal > Serviços de Ajuda Temporária,Esse setor inclui entidades que fornecem trabalhadores aos negócios dos clientes por períodos limitados de tempo para complementar a força de trabalho do cliente.
1931,Centros de Atendimento Telefônico,Serviços Administrativos e de Suporte > Centros de Atendimento Telefônico,"Esse setor inclui entidades que 1. Atendam chamadas telefônicas e mensagens de retransmissão à clientes ou 2. Forneça serviços de telemarketing em contrato ou taxa para outros, como promover produtos ou serviços de clientes por telefone; receber pedidos de clientes por telefone; e solicitar contribuições ou fornecer informações para clientes por telefone."
108,Tradução e Localização,Serviços Administrativos e de Suporte > Tradução e Localização,Este setor inclui entidades que traduzem material escrito e interpretam o discurso de um idioma para outro.
30,Organização de Viagens,Serviços Administrativos e de Suporte > Organização de Viagens,"Este setor inclui entidades que prestam serviços de agências de viagens, organizam ou montam passeios ou fornecem outros serviços de acordo e reserva."
103,Redação e Edição,Serviços Administrativos e de Suporte > Redação e Edição,"Este setor inclui entidades que criam documentos ou currículos, editam ou revisam documentos, transcrevem documentos e/ou fornecem outros serviços de redação e edição."
48,Construção,Construção,"Esse setor inclui entidades que constroem edifícios ou projetos de engenheiros (por exemplo, rodovias e sistemas de serviços públicos) e realizam atividades específicas (por exemplo, pintura e encanamento)."
406,Construção de Edifícios,Construção > Construção de Edifícios,"Essa indústria inclui entidades que construem edifícios, incluindo edifícios temporários e edifícios pré-CUT, com painéis e pré-fabricados montados no local."
413,Construção de Edifícios Não-Residencial,Construção > Construção de Edifícios > Construção de Edifícios Não-Residencial,"Este setor inclui entidades que constroem edifícios não residenciais (incluindo novos trabalhos, adições, alterações, manutenção e reparos)."
408,Construção de Edifícios Residencial,Construção > Construção de Edifícios > Construção de Edifícios Residencial,Essa indústria inclui entidades que construem ou remodelam e reformam edifícios residenciais unifamiliares e multifamiliares.
51,Engenharia Civil,Construção > Engenharia Civil,"Esse setor inclui entidades que conduzem projetos de engenharia, como a construção de rodovias, barragens e sistemas de serviços públicos."
431,"Construção de Rodovias, Ruas e Pontes","Construção > Engenharia Civil > Construção de Rodovias, Ruas e Pontes","Essa indústria inclui entidades que construem rodovias (incluindo elevadas), ruas, estradas, passarelas, calçadas públicas ou pontes."
428,Subdivisão de Terras,Construção > Engenharia Civil > Subdivisão de Terras,Esse setor inclui entidades que atendem à propriedade e subdivide em lotes para venda subsequente aos construtores.
419,Construção de Sistemas Utilitários,Construção > Engenharia Civil > Construção de Sistemas Utilitários,"Essa indústria inclui entidades que construem linhas de distribuição e edifícios e estruturas relacionadas para serviços públicos (como Água, Resíduos, petróleo, gás, energia e comunicação)."
435,Empreiteiros de Comércio Especializados,Construção > Empreiteiros de Comércio Especializados,"Esse setor inclui entidades que realizam atividades específicas (por exemplo, derramamento de concreto, preparação do local, encanamento, pintura e trabalho elétrico) envolvidos na construção de edifícios ou na construção de obras semelhantes, mas não são responsáveis por todo o projeto."
453,Empreiteiros de Equipamentos de Construção,Construção > Empreiteiros de Comércio Especializados > Empreiteiros de Equipamentos de Construção,"Este setor inclui entidades que instalam ou serviços de serviço que fazem parte de um sistema mecânico de construção (por exemplo, eletricidade, água, aquecimento e resfriamento)."
460,Empreiteiros de Acabamento de Construção,Construção > Empreiteiros de Comércio Especializados > Empreiteiros de Acabamento de Construção,Este setor inclui entidades que fornecem negociações especializadas necessárias para concluir os edifícios.
436,Empreiteiros de Estrutura e Exterior de Construção,Construção > Empreiteiros de Comércio Especializados > Empreiteiros de Estrutura e Exterior de Construção,"Esse setor inclui entidades que fornecem negociações especializadas necessárias para concluir a estrutura básica (como fundamento, quadro e shell) de edifícios."
91,Serviços ao Consumidor,Serviços ao Consumidor,"Essa indústria inclui entidades que reparam carros, máquinas, eletrônicos, móveis, calçados e artigos de couro e aqueles que fornecem serviços pessoais como lavanderia, cuidados com animais de estimação e serviços domésticos."
90,Organizações Cívicas e Sociais,Serviços ao Consumidor > Organizações Cívicas e Sociais,Esta indústria inclui entidades que organizam atividades religiosas;
1909,Associações da Indústria,Serviços ao Consumidor > Organizações Cívicas e Sociais > Associações da Indústria,Esse setor inclui entidades que promovem os interesses comerciais de suas empresas membros e podem realizar pesquisas sobre novos produtos e serviços;
107,Organizações Políticas,Serviços ao Consumidor > Organizações Cívicas e Sociais > Organizações Políticas,Esse setor inclui entidades que promovem os interesses de partidos nacionais ou locais ou candidatos.
1911,Organizações Profissionais,Serviços ao Consumidor > Organizações Cívicas e Sociais > Organizações Profissionais,Esse setor inclui entidades que promovem os interesses profissionais de seus membros individuais e de sua profissão como um todo;
2318,Serviços Domésticos,Serviços ao Consumidor > Serviços Domésticos,"Esse setor inclui famílias particulares que empregam trabalhadores dentro ou fora das instalações em atividades preocupadas principalmente com a operação da família, incluindo cozinheiros, empregadas domésticas, mordomos e trabalhadores externos, como jardineiros, cuidadores e outros trabalhadores de manutenção."
100,Organizações Sem Fins Lucrativos,Serviços ao Consumidor > Organizações Sem Fins Lucrativos,"Esse setor inclui entidades que fornecem benefícios públicos sem fins lucrativos, incluindo aqueles que organizam e promovem atividades religiosas, apóiam causas sociais e políticas e fornecem programas e instalações para alívio de emergência, educação e doações de bens e serviços."
2258,Serviços Pessoais e de Lavanderia,Serviços ao Consumidor > Serviços Pessoais e de Lavanderia,"Esse setor inclui entidades que fornecem serviços pessoais e de lavanderia a indivíduos, famílias e empresas, incluindo serviços de cuidados pessoais;"
2272,Serviços de Lavanderia e Secagem,Serviços ao Consumidor > Serviços Pessoais e de Lavanderia > Serviços de Lavanderia e Secagem,Esta indústria inclui entidades que operam lavanderias e tenrans de autoatendimento operados por moedas ou similares;
2259,Serviços de Cuidados Pessoais,Serviços ao Consumidor > Serviços Pessoais e de Lavanderia > Serviços de Cuidados Pessoais,"Esse setor inclui entidades, como barbeiro e lojas de beleza, que fornecem serviços de assistência à aparência a consumidores individuais."
2282,Serviços para Animais de Estimação,Serviços ao Consumidor > Serviços Pessoais e de Lavanderia > Serviços para Animais de Estimação,"Esse setor inclui entidades que fornecem serviços de cuidados com animais de estimação (exceto veterinário, que está em um setor separado), como embarque, limpeza, sessão e treinamento de animais de estimação."
131,Serviços de Captação de Recursos Filantrópicos,Serviços ao Consumidor > Serviços de Captação de Recursos Filantrópicos,"Essa indústria inclui fundações de concessão, fundos de caridade e entidades que arrecadam fundos para uma ampla gama de atividades de bem -estar social, como atividades de saúde, educacional, científico e cultural."
89,Instituições Religiosas,Serviços ao Consumidor > Instituições Religiosas,"Essa indústria inclui organizações religiosas, como igrejas, templos religiosos e mosteiros e/ou entidades que organizam religião ou promovem atividades religiosas."
2225,Reparo e Manutenção,Serviços ao Consumidor > Reparo e Manutenção,"Esse setor inclui entidades que restauram máquinas, equipamentos e outros produtos para o pedido de funcionamento e fornecem manutenção geral ou de rotina (como manutenção) nesses produtos para garantir que eles funcionem com eficiência e para evitar quebras e reparos desnecessários."
2247,Manutenção de Maquinário Comerciais e Industriais,Serviços ao Consumidor > Reparo e Manutenção > Manutenção de Maquinário Comerciais e Industriais,"Essa indústria inclui entidades que reparam e mantêm máquinas e equipamentos comerciais e industriais, incluindo o afilando/instalando lâminas e serras de máquinas comerciais e industriais ou fornecem serviços de reparo de soldagem (por exemplo, automotivo, geral);"
2240,Manutenção de Equipamentos Eletrônicos e de Precisão,Serviços ao Consumidor > Reparo e Manutenção > Manutenção de Equipamentos Eletrônicos e de Precisão,Este setor inclui entidades que reparam e mantêm um ou mais dos seguintes: 1. Equipamento eletrônico do consumidor;
2255,Reparação de Calçados e Artigos de Couro,Serviços ao Consumidor > Reparo e Manutenção > Reparação de Calçados e Artigos de Couro,"Essa indústria inclui entidades que reparam calçados e/ou outros artigos de couro ou couro sem varejo de calçados novos e couro ou artigos de couro, como bolsas e pastas."
2253,Reestofamento e Reparo de Móveis,Serviços ao Consumidor > Reparo e Manutenção > Reestofamento e Reparo de Móveis,Este setor inclui entidades que oferecem um ou mais dos seguintes serviços: 1. REUPHOLSTERING FORNITTION;
2226,Reparo e Manutenção de Veículos,Serviços ao Consumidor > Reparo e Manutenção > Reparo e Manutenção de Veículos,"Esse setor inclui entidades que fornecem serviços de reparo e manutenção para veículos automotivos, como carros de passageiros, caminhões e vans e todos os reboques."
1999,Educação,Educação,"Esse setor inclui entidades que fornecem instruções ou treinamento em uma ampla variedade de assuntos de entidades especializadas, como escolas, faculdades, universidades e centros de treinamento."
132,Provedores de E-learning,Educação > Provedores de E-learning,"Esse setor inclui entidades que oferecem instruções usando tecnologias eletrônicas, como através de treinamentos baseados na Web, plataformas de aprendizado on-line e palestras ao vivo ou gravadas."
68,Ensino Superior,Educação > Ensino Superior,"Essa indústria inclui entidades que fornecem cursos acadêmicos e concedidos diplomas em níveis de bacharelado ou pós -graduação, onde o requisito de admissão é pelo menos um diploma do ensino médio ou um treinamento acadêmico geral equivalente."
67,Educação Primária e Secundária,Educação > Educação Primária e Secundária,"Esse setor inclui entidades que fornecem cursos acadêmicos e cursos associados para fornecer educação preparatória básica, normalmente o jardim de infância até a 12ª série."
105,Treinamento Profissional e Coaching,Educação > Treinamento Profissional e Coaching,"Esse setor inclui entidades que oferecem cursos de treinamento em habilidades de escritório, como usar aplicativos de software."
2018,Treinamento Técnico e Vocacional,Educação > Treinamento Técnico e Vocacional,"Esse setor inclui entidades que oferecem treinamento vocacional e técnico em uma variedade de assuntos e negociações técnicas, incluindo escolas de vôo e aprendizagem, mas excluindo as habilidades do escritório, que está em um setor separado."
2019,Escolas de Cosmetologia e Barbearia,Educação > Treinamento Técnico e Vocacional > Escolas de Cosmetologia e Barbearia,"Essa indústria inclui entidades que oferecem treinamento em barbearia, estilo de cabelo ou artes cosméticas, como maquiagem ou cuidados com a pele."
2025,Escolas de Belas Artes,Educação > Treinamento Técnico e Vocacional > Escolas de Belas Artes,"Essa indústria inclui entidades que oferecem instruções nas artes, incluindo dança, arte, drama e música."
2020,Treinamento de Voo,Educação > Treinamento Técnico e Vocacional > Treinamento de Voo,Este setor inclui entidades que oferecem treinamento em aviação e voo.
2029,Escolas de Idiomas,Educação > Treinamento Técnico e Vocacional > Escolas de Idiomas,Este setor inclui entidades que oferecem instruções de língua estrangeira (incluindo linguagem de sinais).
2012,Escolas de Secretariado,Educação > Treinamento Técnico e Vocacional > Escolas de Secretariado,Essa indústria se concentra no treinamento para a equipe de secretariado e administrativo e inclui entidades que oferecem cursos em habilidades de secretariado e outras habilidades básicas do escritório.
2027,Instrução de Esportes e Recreação,Educação > Treinamento Técnico e Vocacional > Instrução de Esportes e Recreação,"Esse setor inclui entidades, como acampamentos e escolas, que oferecem instruções em atividades atléticas a grupos de indivíduos."
28,Provedores de Entretenimento,Provedores de Entretenimento,"Esta indústria inclui entidades que: 1. Produza, promova ou participe de apresentações ao vivo, eventos ou exposições destinadas ao público;"
38,Artistas e Escritores,Provedores de Entretenimento > Artistas e Escritores,"Essa indústria inclui indivíduos independentes (como freelancers) que se apresentam em produções artísticas, criam obras artísticas e culturais ou fornecem experiência técnica necessária para essas produções."
37,"Museus, Locais Históricos e Zoológicos","Provedores de Entretenimento > Museus, Locais Históricos e Zoológicos","Essa indústria inclui entidades que preservam e exibem objetos, locais e maravilhas naturais de valor histórico, cultural e/ou educacional."
2161,Locais Históricos,"Provedores de Entretenimento > Museus, Locais Históricos e Zoológicos > Locais Históricos","Essa indústria inclui entidades que preservam e exibem locais, edifícios, fortes ou comunidades que descrevem eventos ou pessoas de interesse histórico particular, como sítios arqueológicos, campos de batalha, navios históricos e aldeias pioneiras."
2159,Museus,"Provedores de Entretenimento > Museus, Locais Históricos e Zoológicos > Museus","Esta indústria inclui entidades que preservam e exibem objetos de valor histórico, cultural e/ou educacional."
2163,Zoológicos e Jardins Botânicos,"Provedores de Entretenimento > Museus, Locais Históricos e Zoológicos > Zoológicos e Jardins Botânicos",Esta indústria inclui entidades que preservam e exibem exibições vidas em plantas e animais.
115,Músicos,Provedores de Entretenimento > Músicos,"Essa indústria inclui 1. Grupos que produzem entretenimento musical ao vivo (exceto produções teatrais ou ópera, que estão em indústrias separadas) e 2. Artistas independentes (como freelancers) que fornecem entretenimento musical ao vivo."
2130,Artes Cênicas e Esportes para Espectadores,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores,"Essa indústria inclui entidades que produzem ou organizam e promovem apresentações ao vivo envolvendo as performances de atores e atrizes, cantores, dançarinos, grupos musicais e artistas, atletas e outros artistas, incluindo artistas independentes (como freelancer) e as entidades que gerenciam seus"
2139,Circos e Shows de Mágica,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Circos e Shows de Mágica,"Essa indústria inclui empresas ou grupos (exceto companhias de teatro, empresas de dança e grupos musicais e artistas, que estão em indústrias separadas) produzindo apresentações teatrais ao vivo."
2135,Companhias de Dança,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Companhias de Dança,"Essa indústria inclui empresas, grupos ou teatros que produzem todos os tipos de dança teatral ao vivo (por exemplo, balé, dança contemporânea, dança folclórica)."
39,Artes Cênicas,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Artes Cênicas,"Essa indústria inclui entidades que produzem apresentações ao vivo com performances de atores e atrizes, cantores, dançarinos, músicos e grupos musicais e outros artistas cênicos."
33,Esportes para Espectadores,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Esportes para Espectadores,"Esta indústria inclui: 1. equipes esportivas, clubes ou atletas independentes que participam de eventos esportivos ao vivo antes de um público pagador;"
2143,Pistas de corrida,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Esportes para Espectadores > Pistas de corrida,"Essa indústria inclui entidades que operam pistas de corrida e também podem apresentar e/ou promover os eventos, como corridas de automóveis, cães e cavalos, realizadas nessas instalações."
2142,Equipes Esportivas e Clubes,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Esportes para Espectadores > Equipes Esportivas e Clubes,"Essa indústria inclui equipes esportivas ou clubes profissionais ou semiprofissionais que participam de eventos esportivos ao vivo, como beisebol, basquete, futebol, hóquei, futebol e Jai Alai, antes de um público remunerado."
2133,Companhias de Teatro,Provedores de Entretenimento > Artes Cênicas e Esportes para Espectadores > Companhias de Teatro,"Esta indústria inclui empresas, grupos ou teatros que oferecem as seguintes apresentações teatrais ao vivo: musicais;"
40,Instalações Recreativas,Provedores de Entretenimento > Instalações Recreativas,"Essa indústria inclui entidades que 1. operam instalações onde os clientes podem se envolver em atividades de esportes, recreação, diversão ou jogo e/ou 2. Fornecer outras diversões e recreação, como dispositivos de diversão em locais de negócios operados por outros;"
2167,Parques de Diversão e Fliperamas,Provedores de Entretenimento > Instalações Recreativas > Parques de Diversão e Fliperamas,Essa indústria inclui entidades que operam parques de diversões e arcadas de diversão e salões.
29,Instalações de Jogos de Azar e Cassinos,Provedores de Entretenimento > Instalações Recreativas > Instalações de Jogos de Azar e Cassinos,"Essa indústria inclui entidades que operam instalações de jogo, como cassinos, salões de bingo e terminais de videogames, ou que provisionam serviços de jogo, como loterias e apostas fora da pista."
2179,Campos de Golfe e Clubes de Campo,Provedores de Entretenimento > Instalações Recreativas > Campos de Golfe e Clubes de Campo,"Essa indústria inclui entidades que 1. operam campos de golfe (exceto miniatura) e 2. Opere campos de golfe, juntamente com instalações para refeições e outras Instalações Recreativas conhecidas como clubes de campo."
2181,Instalações de Esqui,Provedores de Entretenimento > Instalações Recreativas > Instalações de Esqui,"Esse setor inclui entidades que operam em declive, cross country/região ou áreas de esqui relacionadas e/ou operam equipamentos relacionados, como elevadores de esqui e tows."
124,Serviços de Bem-estar e Fitness,Provedores de Entretenimento > Instalações Recreativas > Serviços de Bem-estar e Fitness,"Esta indústria inclui entidades que: 1. Opere instalações de condicionamento físico e recreativo para esportes, como nadar, patinar ou esportes de raquete;"
201,"Agricultura, Pecuária, Silvicultura","Agricultura, Pecuária, Silvicultura","Essa indústria inclui entidades que cultivam, criam animais, colheita de madeira e colheita de peixes e outros animais de uma fazenda, rancho ou seus habitats naturais."
63,Agricultura,"Agricultura, Pecuária, Silvicultura > Agricultura","Essa indústria inclui entidades que cultivam culturas principalmente para alimentos e fibras, como fazendas, pomares, bosques, estufas e viveiros."
150,Horticultura,"Agricultura, Pecuária, Silvicultura > Agricultura > Horticultura","Essa indústria inclui entidades que cultivam plantas de jardim, como frutas, vegetais, flores e ornamentais."
298,Silvicultura e Madeireiras,"Agricultura, Pecuária, Silvicultura > Silvicultura e Madeireiras",Essa indústria inclui entidades que crescem e colhem madeira em um longo ciclo de produção (como 10 anos ou mais).
256,Pecuária e Pesca,"Agricultura, Pecuária, Silvicultura > Pecuária e Pesca",Essa indústria inclui entidades que criam ou engorda animais e/ou criam plantas aquáticas e animais aquáticos em ambientes aquáticos controlados ou selecionados.
66,Pesca,"Agricultura, Pecuária, Silvicultura > Pecuária e Pesca > Pesca","Essa indústria inclui entidades que capturam finfish, mariscos ou produtos marinhos diversos de um habitat natural, como peixes azuis, enguias, salmão, atum, amêijoas, caranguejos, lagostas, mexilhões, ostras, camarões, sapos, ouriços do mar e tartarugas."
64,Pecuária,"Agricultura, Pecuária, Silvicultura > Pecuária e Pesca > Pecuária","Esta indústria inclui entidades que criam gado, gado leiteiro ou alimentação de gado para engorda."
43,Serviços Financeiros,Serviços Financeiros,"Esse setor inclui entidades que fazem transações financeiras (criação, liquidação ou mudança na propriedade de ativos financeiros) e/ou que facilitem as transações financeiras."
129,Mercado de Capitais,Serviços Financeiros > Mercado de Capitais,Este setor inclui entidades que: 1. Subscrever questões de valores mobiliários e/ou fabricar mercados para valores mobiliários e commodities;
1720,Consultoria de Investimentos,Serviços Financeiros > Mercado de Capitais > Consultoria de Investimentos,"Esse setor inclui entidades que fornecem conselhos de investimento personalizados aos clientes com base na taxa, mas não têm autoridade para executar negócios."
45,Banco de Investimentos,Serviços Financeiros > Mercado de Capitais > Banco de Investimentos,"Esse setor inclui entidades que subscrevem, originam e/ou mantêm mercados para questões de valores mobiliários e entidades que atuam como diretores na compra ou venda de valores mobiliários, como revendedores de valores mobiliários ou revendedores de opções de ações."
46,Gestão de Investimentos,Serviços Financeiros > Mercado de Capitais > Gestão de Investimentos,"Esse setor inclui entidades que atuam como diretores ou corretores na compra ou venda de contratos financeiros (exceto banqueiros de investimento e valores mobiliários e contratos de commodities e corretoras, que estão em indústrias separadas)."
1713,Bolsa de Valores e Commodities,Serviços Financeiros > Mercado de Capitais > Bolsas de Valores e Commodities,"Esse setor inclui entidades que fornecem mercados físicos ou eletrônicos para facilitar a compra e venda de ações, opções de ações, títulos ou contratos de commodities."
106,Capital de Risco e Diretores de Private Equity,Serviços Financeiros > Mercado de Capitais > Capital de Risco e Diretores de Private Equity,"Esse setor inclui entidades que atuam como diretores (exceto banqueiros de investimento, revendedores de valores mobiliários e revendedores de contratos de commodities, que estão em indústrias separadas) na compra ou venda de contratos financeiros em geral em uma base de spread."
1673,Intermediação de Crédito,Serviços Financeiros > Intermediação de Crédito,Esse setor inclui entidades que emprestam principalmente fundos arrecadados de depositantes ou em empréstimos do mercado de crédito;
41,Bancos,Serviços Financeiros > Intermediação de Crédito > Bancos,"Esse setor inclui entidades que aceitam demanda e outros depósitos e fazem empréstimos comerciais, industriais e de consumidores."
141,Comércio e Desenvolvimento Internacional,Serviços Financeiros > Intermediação de Crédito > Comércio e Desenvolvimento Internacional,Este setor inclui entidades que fornecem fundos de capital de giro aos exportadores;
1696,Corretores de Empréstimos,Serviços Financeiros > Intermediação de Crédito > Corretores de Empréstimos,"Esse setor inclui entidades que organizam principalmente empréstimos, reunindo mutuários e credores com base em comissão ou taxa."
1678,Instituições de Poupança,Serviços Financeiros > Intermediação de Crédito > Instituições de Poupança,"Esse setor inclui entidades que aceitam principalmente depósitos de tempo, fazem empréstimos hipotecários e imobiliários e investem em títulos de alto grau, incluindo associações de poupança e empréstimos e bancos de poupança."
1742,Fundos e Trusts,Serviços Financeiros > Fundos e Trusts,"Esse setor inclui entidades legais (como fundos, planos e/ou programas) organizadas para reunir valores mobiliários ou outros ativos em nome de acionistas ou beneficiários de benefício dos funcionários ou outros fundos fiduciários para obter juros, dividendos e outras receitas de investimento."
1743,Seguros e Fundos de Benefícios de Funcionários,Serviços Financeiros > Fundos e Trusts > Seguros e Fundos de Benefícios de Funcionários,"Esse setor inclui entidades legais (como fundos, planos e/ou programas) organizadas para fornecer seguros e benefícios dos funcionários exclusivamente para o patrocinador, empresa ou seus funcionários ou membros."
1745,Fundos de Pensão,Serviços Financeiros > Fundos e Trusts > Fundos de Pensão,"Esse setor inclui entidades legais (como fundos, planos e/ou programas) organizadas para fornecer benefícios de renda de aposentadoria exclusivamente para os funcionários ou membros do patrocinador."
1750,Confiança e propriedades,Serviços Financeiros > Fundos e Trusts > Trusts e propriedades,"Esse setor inclui entidades legais (como pools de investimentos e/ou fundos) organizados para agrupar títulos ou outros ativos (exceto os fundos de benefícios e benefícios de funcionários, que estão em indústrias separadas) em nome de acionistas, inituladores ou beneficiários."
42,Seguro,Serviços Financeiros > Seguro,Esse setor inclui entidades que subscrevem anuidades e apólices de seguro ou vendem apólices de seguro e fornecem outros serviços de seguros e funcionários-benefícios.
